BrandName,Deatils,Sizes,Womens_Category,MRP_,Discount_percent,SellPrice_
life,solid cotton blend collar neck womens a-line dress - indigo,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1699.0,50.0,849.0
only,polyester peter pan collar womens blouson dress - yellow,"Size:34,36,38,40",Westernwear,3499.0,30.0,2449.0
fratini,solid polyester blend wide neck womens regular top - off white,"Size:Large,X-Large,XX-Large",Westernwear,1199.0,50.0,599.0
zink london,stripes polyester sweetheart neck womens dress - black,"Size:Large,Medium,Small,X-Large",Westernwear,2299.0,40.0,1379.0
life,regular fit regular length denim womens jeans - stone,"Size:26,28,30,32,34,36",Westernwear,1699.0,50.0,849.0
kraus,wide ankle length cotton womens jeans - light blue,"Size:26,28,30,32,34",Westernwear,1795.0,10.0,1615.0
life,printed cotton blend collared womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1299.0,50.0,649.0
fratini,embroidered wide neck polyester womens regular top - blush,Size:XX-Large,Westernwear,1299.0,50.0,649.0
rare,floral polyester v neck womens flared dress - navy,"Size:Large,Medium,Small,X-Large",Westernwear,2099.0,60.0,839.0
rare,checks cotton boat neck womens regular top - black,"Size:Medium,Small,X-Large",Westernwear,1499.0,60.0,599.0
life,solid square neck cotton womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1499.0,50.0,749.0
life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36",Westernwear,999.0,50.0,499.0
life,printed blended round neck womens shift dress - orange,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1499.0,50.0,749.0
life,printed jersey round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,599.0,50.0,299.0
life,printed crepe square neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,999.0,50.0,499.0
life,solid cotton collar neck womens shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1199.0,50.0,599.0
life,solid cotton lycra round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Small",Westernwear,599.0,50.0,299.0
life,printed cotton collar neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1299.0,50.0,649.0
van heusen,solid cotton v neck womens formal shirt - maroon,"Size:Large,Small,X-Small",Westernwear,1999.0,60.0,799.0
life,regular fit regular length denim womens jeans - mid stone,"Size:26,28,30,32,34,36",Westernwear,1999.0,50.0,999.0
fratini,solid round neck viscose womens regular dress - olive,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1499.0,50.0,749.0
life,solid wide neck viscose womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1299.0,50.0,649.0
stop,printed regular neck cotton womens formal shirt - ecru,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,799.0,50.0,399.0
life,regular fit regular length denim womens jeans - mid stone,"Size:26,28,30,32,34,36",Westernwear,1999.0,50.0,999.0
zink london,floral viscose sweetheart neck womens dress - green,"Size:Medium,Small,X-Small,XX-Large",Westernwear,2799.0,40.0,1679.0
life,printed viscose v neck womens regular woven top - off white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1199.0,50.0,599.0
life,printed cotton blend v neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,999.0,50.0,499.0
zink z,solid cotton blend v neck womens top - maroon,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2008.5116138398257,0.0,1299.0
stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,899.0,50.0,449.0
life,printed cotton blend round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,999.0,50.0,499.0
life,embroidered viscose square neck womens regular top - white,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1199.0,50.0,599.0
life,regular fit regular length denim womens jeans - indigo,"Size:26,28,30,32,34,36,Medium",Westernwear,1699.0,50.0,849.0
life,printed cotton lycra round neck womens t-shirt - pink mix,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,699.0,50.0,349.0
cover story,solid round neck cotton womens regular dress - dark brown,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,2890.0,50.0,1445.0
infuse,printed square neck rayon womens dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1999.0,50.0,999.0
fratini,printed polyester blend round neck womens a-line dress - white,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,2008.5116138398257,50.0,1799.0
allen solly,solid rayon regular fit womens trousers - black,"Size:26,28,30,32,34,36",Westernwear,1299.0,20.0,1039.0
infuse,regular fit regular length cotton womens loungewear short set - pink,"Size:Large,Medium,Small,X-Small",Westernwear,899.0,60.0,359.0
van heusen,solid polyester collar neck womens shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1699.0,41.0,999.0
life,solid viscose round neck womens regular top - sage,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,999.0,50.0,499.0
cover story,printed polyester round neck womens dress - black,"Size:Medium,Small,X-Large,X-Small",Westernwear,4490.0,30.0,3143.0
life,printed collar neck polyester womens regular top - navy,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,999.0,50.0,499.0
zink london,lace polyester round neck womens dress - green,"Size:Large,Medium,Small,X-Large",Westernwear,3299.0,40.0,1979.0
stop,solid viscose v-neck womens regular top - mustard,"Size:Large,Medium,Small,XX-Large",Westernwear,999.0,50.0,499.0
fratini,printed v-neck polyester womens regular dress - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,1899.0,50.0,949.0
